channel,timepoint,start_time_min,end_time_min,bpm_duration,bpm,bpm.SD,temp_mean
Ch6,1,5.501,5.752,15.05969881,94.7759426,0.1476,16.1
Ch6,2,11.5,11.753,15.17969641,103.0108279,0.1898,17.05
Ch6,3,17.5,17.751,15.05969881,111.7324589,0.1324,18.1
Ch6,4,23.5,23.767,16.01967961,120.4838557,0.1319,19.1
Ch6,5,29.521,29.786,15.89968201,129.087997,0.2409,20.05
Ch6,6,35.5,35.758,15.47969041,137.5080728,0.2335,21.05
Ch6,7,41.501,41.755,15.23969521,145.7883025,0.4203,22.1
Ch6,8,47.585,47.839,15.23969521,146.4555846,0.5674,23
Ch6,9,53.501,53.756,15.29969401,146.2945324,0.3579,24
Ch6,10,59.5,59.755,15.29969401,149.7912956,0.2759,25
Ch6,11,65.501,65.758,15.41969161,153.1891379,0.3045,26.15
Ch2,1,5.722,6.013,17.45965081,84.78934002,0.3128,16
Ch2,2,11.5,11.757,15.41969161,89.31218962,0.3891,16.95
Ch2,3,17.715,18.002,17.21965561,98.20703153,0.4751,18
Ch2,4,23.67,23.935,15.89968201,106.0739141,0.5227,19
Ch2,5,29.498,29.76,15.71968561,114.2125134,0.8207,20.1
Ch2,6,35.502,35.773,16.25967481,121.8956733,0.9744,20.9
Ch2,7,41.583,41.838,15.29969401,128.3909819,0.8767,22
Ch2,8,47.583,47.841,15.47969041,132.7600768,0.9124,23
Ch2,9,53.658,53.915,15.41969161,128.8447125,0.7728,23.95
Ch2,10,59.499,59.717,13.07973841,108.122398,0.4854,24.8
Ch1,1,5.722,6.013,17.45965081,87.75404694,0.5204,16
Ch1,2,11.5,11.757,15.41969161,93.13181803,0.5533,16.95
Ch1,3,17.715,18.002,17.21965561,101.3264144,0.2792,18
Ch1,4,23.67,23.935,15.89968201,107.7835353,0.2829,19
Ch1,5,29.498,29.76,15.71968561,114.0928187,0.6182,20.1
Ch1,6,35.502,35.773,16.25967481,119.6676445,0.4862,20.9
Ch1,7,41.583,41.838,15.29969401,123.1554002,0.7174,22
Ch1,8,47.583,47.841,15.47969041,123.269341,0.841,23
Ch1,9,53.658,53.915,15.41969161,119.2205063,1.1408,23.95